,FIPS,Total_population,P_WH,P_AA,P_AI,P_AS,P_NH,P_OR,P_2R,P_Latino,P_native,P_FB,P_citizen,P_non-citizen,P_NoSchool,P_HS_no_degree,P_HS_or_GED,P_some_college,P_college_degree,P_Masters_prof_doc,P_limited_eng,Poverty_rate,MED_HH_income,UE_rate,P_UI,P_Insured,P_UI_under_18,P_UI_18-64,P_UI_65_over,P_any_private_ins,P_any_public_ins,P_Medicare_alone,P_Medicaid_alone,Respiratory HI,NatWalkInd,GINI,SVI_themes_total,SVI_flags
0,49001100100,3322,0.973208910295003,0.0,0.015051173991571343,0.0,0.0,0.011739915713425647,0.0,0.09452137266706803,0.9602649006622517,0.039735099337748346,0.968230836490819,0.031769163509181,0.04857397504456328,0.07709447415329768,0.31327985739750447,0.30614973262032086,0.21301247771836007,0.04188948306595366,0.03944773175542406,0.07192429022082018,51071.0,0.034,0.11,0.89,0.068,0.17600000000000002,0.0,0.7390000000000001,0.271,0.184,0.109,0.10481616990891,8.0,0.4095,0.8456,1.0
1,49001100200,3121,0.9445690483819289,0.0,0.003844921499519385,0.00512656199935918,0.0,0.038449214995193846,0.008010253123998718,0.1329702018583787,0.9147709067606536,0.08522909323934637,0.9451847365233192,0.0548152634766808,0.06329113924050633,0.06047819971870605,0.369901547116737,0.25644631973745896,0.21425222691045476,0.03563056727613689,0.07727593507410022,0.06341463414634146,58250.0,0.049,0.132,0.868,0.17800000000000002,0.132,0.0,0.787,0.19899999999999998,0.134,0.071,0.113937695384535,7.055555554333334,0.3306,0.6655,0.0
2,49003960100,2989,0.9772499163599866,0.004349280695884911,0.0026764804282368685,0.006356641017062563,0.0,0.006691201070592171,0.0026764804282368685,0.03646704583472733,0.9829374372699899,0.01706256273001004,0.9930232558139535,0.0069767441860465115,0.03900536323744515,0.05802047781569966,0.42857142857142855,0.2764505119453925,0.15650901999024866,0.04144319843978547,0.01943145016192875,0.060486522024983565,63833.0,0.02,0.094,0.9059999999999999,0.106,0.114,0.0,0.777,0.222,0.163,0.068,0.151966088713644,3.777777777666667,0.4058,0.4031,0.0
3,49003960200,7947,0.9662765823581225,0.0008808355354221719,0.010318359129231156,0.008305020762551907,0.0016358374229268906,0.008179187114634454,0.004404177677110859,0.10079275198187995,0.9742041021769221,0.025795897823077892,0.9884328358208955,0.011567164179104477,0.022608370702541108,0.045590433482810166,0.3860239162929746,0.2677503736920777,0.23860239162929747,0.03942451420029895,0.03029045643153527,0.06632414759458197,67225.0,0.049,0.049,0.951,0.040999999999999995,0.064,0.0,0.818,0.23,0.11599999999999999,0.115,0.167177573118772,4.75,0.3215,0.3619,0.0
4,49003960300,8810,0.8748013620885358,0.019863791146424517,0.0,0.018388195232690124,0.0,0.05754824063564132,0.029398410896708287,0.15743473325766175,0.9293984108967083,0.07060158910329171,0.9665386725178278,0.033461327482172246,0.05257207461842849,0.06425475786696816,0.3156208780855474,0.33352176370830977,0.178631995477671,0.055398530243075186,0.0708218999085326,0.14333976833976833,49552.0,0.057999999999999996,0.073,0.927,0.034,0.115,0.022000000000000002,0.752,0.22899999999999998,0.094,0.14800000000000002,0.183554994573797,8.638888888833334,0.3355,0.9297,3.0
5,49003960400,4551,0.952098439903318,0.00043946385409800046,0.02900461437046803,0.008349813227862008,0.0,0.005053834322127005,0.005053834322127005,0.039771478795869036,0.9824214458360799,0.017578554163920016,0.9908556499020248,0.009144350097975179,0.016047828823159218,0.01762114537444934,0.34896161107614854,0.34172435494021397,0.250471994965387,0.025173064820641914,0.02104278700023381,0.03420843277645187,64648.0,0.017,0.051,0.9490000000000001,0.031,0.07,0.013999999999999999,0.861,0.192,0.131,0.073,0.173318231167303,3.0,0.3368,0.2744,0.0
6,49003960500,5423,0.8692605568873317,0.008482389821132214,0.024156371012354787,0.005900792919048497,0.0,0.05790153051816338,0.03429835884196939,0.1086114696662364,0.9751060298727642,0.024893970127235848,0.984389181339626,0.015610818660373933,0.033696215655780196,0.048989113530326596,0.37636080870917576,0.29808190772420945,0.20036288232244687,0.04250907205806117,0.07171474358974358,0.09877408056042032,54043.0,0.036000000000000004,0.114,0.8859999999999999,0.094,0.151,0.0,0.779,0.214,0.132,0.10099999999999999,0.188706536767035,10.0416666665,0.3951,0.681,1.0
7,49003960601,3612,0.989202657807309,0.0,0.0013842746400885937,0.0,0.0,0.009413067552602437,0.0,0.03294573643410853,0.9936323366555925,0.00636766334440753,0.9964137931034482,0.003586206896551724,0.011160714285714286,0.07180059523809523,0.3541666666666667,0.328125,0.18973214285714285,0.04501488095238095,0.019801980198019802,0.10344827586206896,52500.0,0.076,0.124,0.8759999999999999,0.10300000000000001,0.166,0.0,0.767,0.25,0.17,0.10400000000000001,0.170574487830903,13.00000000075,0.4153,0.6398,2.0
8,49003960602,2456,0.8868078175895765,0.008550488599348535,0.010586319218241042,0.0,0.0,0.06596091205211727,0.02809446254071661,0.09527687296416938,0.9523615635179153,0.04763843648208469,0.9635151039623382,0.03648489603766183,0.016181229773462782,0.02535059331175836,0.24541531823085222,0.26591154261057176,0.348975188781014,0.09816612729234088,0.022618529795563287,0.08365608055770721,66094.0,0.033,0.051,0.9490000000000001,0.036000000000000004,0.076,0.0,0.848,0.235,0.19899999999999998,0.055999999999999994,0.167358194277805,8.166666666666666,0.3575,0.4786,1.0
9,49003960701,5063,0.9413391269998025,0.006912897491605768,0.01935611297649615,0.007702942919217855,0.0013825794983211535,0.011060635986569228,0.01224570412798736,0.1566265060240964,0.9306735137270393,0.06932648627296069,0.9669595110771582,0.033040488922841865,0.06713681241184767,0.04400564174894217,0.27926657263751764,0.2863187588152327,0.264033850493653,0.05923836389280677,0.10673443456162643,0.049199531433033974,52634.0,0.06,0.075,0.925,0.043,0.11699999999999999,0.0,0.736,0.318,0.184,0.16,0.172554769455123,15.166666666666666,0.3311,0.8765,1.0
