STATE,COUNTY,FIPS,RPL_THEMES,F_TOTAL
UTAH,Washington,49053270500,0.2058,0
UTAH,Salt Lake,49035113102,0.2075,0
UTAH,Cache,49005001202,0.2093,1
UTAH,Salt Lake,49035112804,0.211,0
UTAH,Cache,49005001300,0.2127,0
UTAH,Weber,49057210404,0.2144,0
UTAH,Davis,49011125104,0.2161,0
UTAH,Salt Lake,49035111305,0.2178,1
UTAH,Salt Lake,49035110300,0.2196,0
UTAH,Davis,49011125403,0.2213,1
UTAH,Utah,49049010111,0.223,1
UTAH,Utah,49049002101,0.2247,1
UTAH,Davis,49011125102,0.2264,0
UTAH,Davis,49011125305,0.2281,0
UTAH,Davis,49011125908,0.2298,0
UTAH,Davis,49011126101,0.2316,0
UTAH,Salt Lake,49035104100,0.2333,1
UTAH,Utah,49049010212,0.235,2
UTAH,Cache,49005000701,0.2367,1
UTAH,Salt Lake,49035112912,0.2384,0
UTAH,Salt Lake,49035112817,0.2401,1
UTAH,Utah,49049000904,0.2419,1
UTAH,Utah,49049010210,0.2436,0
UTAH,Utah,49049010407,0.2453,0
UTAH,Salt Lake,49035103500,0.247,0
UTAH,Salt Lake,49035112810,0.2487,1
UTAH,Davis,49011127100,0.2504,0
UTAH,Utah,49049010305,0.2521,0
UTAH,Davis,49011125406,0.2539,0
UTAH,Salt Lake,49035113535,0.2556,0
UTAH,Salt Lake,49035113107,0.2573,1
UTAH,Salt Lake,49035111002,0.259,0
UTAH,Davis,49011126202,0.2607,2
UTAH,Salt Lake,49035112905,0.2624,0
UTAH,Utah,49049000708,0.2642,0
UTAH,Salt Lake,49035110702,0.2659,0
UTAH,Weber,49057210509,0.2676,0
UTAH,Utah,49049010215,0.2693,1
UTAH,Wasatch,49051960200,0.271,0
UTAH,Salt Lake,49035112613,0.2727,0
UTAH,Box Elder,49003960400,0.2744,0
UTAH,Salt Lake,49035113522,0.2762,0
UTAH,Salt Lake,49035103400,0.2779,0
UTAH,Weber,49057210403,0.2796,1
UTAH,Salt Lake,49035101500,0.2813,4
UTAH,Salt Lake,49035104300,0.283,0
UTAH,Salt Lake,49035112614,0.2847,1
UTAH,Summit,49043964305,0.2864,1
UTAH,Weber,49057210204,0.2882,0
UTAH,Cache,49005000403,0.2899,0
UTAH,Weber,49057210900,0.2916,0
UTAH,Summit,49043964202,0.2933,0
UTAH,Salt Lake,49035113528,0.295,0
UTAH,Salt Lake,49035112816,0.2967,0
UTAH,Utah,49049000504,0.2985,0
UTAH,Salt Lake,49035112202,0.3002,0
UTAH,Cache,49005001101,0.3019,0
UTAH,Salt Lake,49035112819,0.3036,0
UTAH,Salt Lake,49035110402,0.3053,0
UTAH,Salt Lake,49035112611,0.307,0
UTAH,Utah,49049000903,0.3087,0
UTAH,Cache,49005001500,0.3105,0
UTAH,Cache,49005000202,0.3122,0
UTAH,Weber,49057210100,0.3139,1
UTAH,Davis,49011125503,0.3156,0
UTAH,Weber,49057202000,0.3173,1
UTAH,Utah,49049000711,0.319,0
UTAH,Weber,49057210510,0.3208,0
UTAH,Utah,49049010220,0.3225,2
UTAH,Summit,49043964102,0.3242,0
UTAH,Uintah,49047968302,0.3259,0
UTAH,Daggett,49009960100,0.3276,2
UTAH,Salt Lake,49035113017,0.3293,0
UTAH,Tooele,49045130702,0.331,1
UTAH,Davis,49011125804,0.3328,0
UTAH,Salt Lake,49035112616,0.3345,0
UTAH,Washington,49053271600,0.3362,2
UTAH,Utah,49049003002,0.3379,0
UTAH,Weber,49057210505,0.3396,0
UTAH,Davis,49011125103,0.3413,1
UTAH,Salt Lake,49035111201,0.3431,1
UTAH,Utah,49049000709,0.3448,0
UTAH,Davis,49011126500,0.3465,1
UTAH,Washington,49053270400,0.3482,1
UTAH,Utah,49049010104,0.3499,1
UTAH,Weber,49057210402,0.3516,1
UTAH,Salt Lake,49035113108,0.3533,0
UTAH,Davis,49011126306,0.3551,0
UTAH,Davis,49011125303,0.3568,0
UTAH,Salt Lake,49035113533,0.3585,1
UTAH,Salt Lake,49035112604,0.3602,1
UTAH,Box Elder,49003960200,0.3619,0
UTAH,Washington,49053271702,0.3636,0
UTAH,Utah,49049002702,0.3654,0
UTAH,Utah,49049000603,0.3671,0
UTAH,Utah,49049010108,0.3688,1
UTAH,Utah,49049010304,0.3705,2
UTAH,Salt Lake,49035113534,0.3722,0
UTAH,Weber,49057200700,0.3739,0
UTAH,Utah,49049010109,0.3756,1
UTAH,Salt Lake,49035112823,0.3774,1
UTAH,Salt Lake,49035111102,0.3791,0
UTAH,Summit,49043964201,0.3808,0
UTAH,Salt Lake,49035101101,0.3825,1
UTAH,Davis,49011127004,0.3842,0
UTAH,Wasatch,49051940500,0.3859,0
UTAH,Washington,49053270200,0.3877,1
UTAH,Utah,49049010700,0.3894,1
UTAH,Davis,49011125200,0.3911,2
UTAH,Utah,49049000103,0.3928,0
UTAH,Weber,49057211000,0.3945,1
UTAH,Tooele,49045131200,0.3962,3
UTAH,Salt Lake,49035101102,0.3979,1
UTAH,Davis,49011125501,0.3997,1
UTAH,Salt Lake,49035113525,0.4014,2
UTAH,Box Elder,49003960100,0.4031,0
UTAH,Utah,49049001501,0.4048,1
UTAH,Utah,49049002206,0.4065,0
UTAH,Davis,49011125906,0.4082,0
UTAH,Cache,49005001401,0.4099,0
UTAH,Utah,49049001401,0.4117,1
UTAH,Weber,49057211201,0.4134,0
UTAH,Salt Lake,49035110800,0.4151,1
UTAH,Summit,49043964304,0.4168,0
UTAH,Summit,49043964101,0.4185,1
UTAH,Cache,49005000201,0.4202,0
UTAH,Salt Lake,49035113409,0.422,1
UTAH,Utah,49049010103,0.4237,2
UTAH,Tooele,49045130701,0.4254,0
UTAH,Davis,49011126406,0.4271,0
UTAH,Washington,49053270801,0.4288,1
UTAH,Salt Lake,49035113520,0.4305,1
UTAH,Weber,49057210704,0.4322,0
UTAH,Utah,49049001300,0.434,0
UTAH,Utah,49049010410,0.4357,1
UTAH,Salt Lake,49035103300,0.4374,1
UTAH,Summit,49043964402,0.4391,2
UTAH,Salt Lake,49035113532,0.4408,0
UTAH,Salt Lake,49035110701,0.4425,0
UTAH,Cache,49005000102,0.4443,0
UTAH,Tooele,49045130703,0.446,0
UTAH,Salt Lake,49035112921,0.4477,0
UTAH,Salt Lake,49035111202,0.4494,0
UTAH,Salt Lake,49035112812,0.4511,0
UTAH,Utah,49049002201,0.4528,1
UTAH,Salt Lake,49035113539,0.4545,2
UTAH,Washington,49053270600,0.4563,1
UTAH,Salt Lake,49035113537,0.458,4
UTAH,Salt Lake,49035101800,0.4597,3
UTAH,Cache,49005000900,0.4614,1
UTAH,Utah,49049001802,0.4631,5
UTAH,Utah,49049003105,0.4648,0
UTAH,Salt Lake,49035113527,0.4666,1
UTAH,Salt Lake,49035114000,0.4683,2
UTAH,Salt Lake,49035111103,0.47,2
UTAH,Utah,49049010107,0.4717,1
UTAH,Utah,49049000706,0.4734,1
UTAH,Kane,49025130200,0.4751,1
UTAH,Utah,49049000204,0.4768,0
UTAH,Box Elder,49003960602,0.4786,1
UTAH,Utah,49049003300,0.4803,1
UTAH,Salt Lake,49035103200,0.482,1
UTAH,Utah,49049003103,0.4837,0
UTAH,Salt Lake,49035112502,0.4854,1
UTAH,Weber,49057210703,0.4871,2
UTAH,Cache,49005000702,0.4889,4
UTAH,Millard,49027974200,0.4906,1
UTAH,Kane,49025130100,0.4923,2
UTAH,Utah,49049010503,0.494,1
UTAH,Weber,49057200100,0.4957,1
UTAH,Salt Lake,49035103100,0.4974,1
UTAH,Salt Lake,49035112201,0.4991,1
UTAH,Utah,49049001504,0.5009,0
UTAH,Iron,49021110702,0.5026,0
UTAH,Salt Lake,49035112914,0.5043,0
UTAH,Salt Lake,49035113411,0.506,2
UTAH,Salt Lake,49035115209,0.5077,1
UTAH,Iron,49021110200,0.5094,1
UTAH,Salt Lake,49035114200,0.5111,0
UTAH,Weber,49057210506,0.5129,0
UTAH,Salt Lake,49035112612,0.5146,1
UTAH,Salt Lake,49035112301,0.5163,0
UTAH,Salt Lake,49035101700,0.518,4
UTAH,Weber,49057210511,0.5197,1
UTAH,Weber,49057201500,0.5214,1
UTAH,Davis,49011125304,0.5232,0
UTAH,Utah,49049010404,0.5249,1
UTAH,Weber,49057210302,0.5266,1
UTAH,Utah,49049001602,0.5283,6
UTAH,Sevier,49041975500,0.53,3
UTAH,Salt Lake,49035113515,0.5317,1
UTAH,Rich,49033950100,0.5334,2
UTAH,Utah,49049001002,0.5352,0
UTAH,Salt Lake,49035112503,0.5369,0
UTAH,Utah,49049001107,0.5386,0
UTAH,Utah,49049003204,0.5403,0
UTAH,Piute,49031960100,0.542,3
UTAH,Weber,49057211202,0.5437,1
UTAH,Iron,49021110600,0.5455,3
UTAH,Utah,49049001601,0.5472,5
UTAH,Utah,49049001603,0.5489,5
UTAH,Utah,49049001103,0.5506,1
UTAH,Iron,49021110701,0.5523,1
UTAH,Wasatch,49051960100,0.554,1
UTAH,Salt Lake,49035113412,0.5557,4
UTAH,Utah,49049003205,0.5575,0
UTAH,Salt Lake,49035113702,0.5592,2
UTAH,Utah,49049000707,0.5609,0
UTAH,Uintah,49047968200,0.5626,1
UTAH,Salt Lake,49035113526,0.5643,3
UTAH,Salt Lake,49035100800,0.566,3
UTAH,Carbon,49007000600,0.5678,3
UTAH,Davis,49011125805,0.5695,0
UTAH,Davis,49011125502,0.5712,1
UTAH,Sanpete,49039972500,0.5729,0
UTAH,Utah,49049001108,0.5746,2
UTAH,Salt Lake,49035112917,0.5763,1
UTAH,Tooele,49045131001,0.578,2
UTAH,Washington,49053271800,0.5798,2
UTAH,Cache,49005000800,0.5815,2
UTAH,Salt Lake,49035113510,0.5832,1
UTAH,Salt Lake,49035113905,0.5849,0
UTAH,Utah,49049010505,0.5866,1
UTAH,Salt Lake,49035112918,0.5883,0
UTAH,Davis,49011126902,0.5901,0
UTAH,Salt Lake,49035113538,0.5918,1
UTAH,Utah,49049001503,0.5935,1
UTAH,Davis,49011125808,0.5952,1
UTAH,Emery,49015976300,0.5969,2
UTAH,Salt Lake,49035112916,0.5986,1
UTAH,Utah,49049002102,0.6003,0
UTAH,Utah,49049001701,0.6021,1
UTAH,Cache,49005001402,0.6038,1
UTAH,Garfield,49017000400,0.6055,2
UTAH,Salt Lake,49035112002,0.6072,1
UTAH,Sevier,49041975200,0.6089,0
UTAH,Tooele,49045130800,0.6106,1
