CensusTract,State,County,Urban,Low_access
49035104000,Utah,Salt Lake County,1,0
49035104100,Utah,Salt Lake County,1,1
49035104200,Utah,Salt Lake County,1,1
49035104300,Utah,Salt Lake County,1,0
49035104400,Utah,Salt Lake County,1,0
49035104700,Utah,Salt Lake County,1,1
49035104800,Utah,Salt Lake County,1,1
49035104900,Utah,Salt Lake County,1,1
49035110102,Utah,Salt Lake County,0,0
49035110103,Utah,Salt Lake County,0,0
49035110104,Utah,Salt Lake County,1,1
49035110200,Utah,Salt Lake County,1,1
49035110300,Utah,Salt Lake County,1,1
49035110401,Utah,Salt Lake County,1,1
49035110402,Utah,Salt Lake County,1,1
49035110500,Utah,Salt Lake County,1,1
49035110600,Utah,Salt Lake County,1,1
49035110701,Utah,Salt Lake County,1,1
49035110702,Utah,Salt Lake County,1,1
49035110800,Utah,Salt Lake County,1,1
49035110900,Utah,Salt Lake County,1,1
49035111001,Utah,Salt Lake County,1,1
49035111002,Utah,Salt Lake County,1,1
49035111101,Utah,Salt Lake County,1,1
49035111102,Utah,Salt Lake County,1,1
49035111103,Utah,Salt Lake County,1,1
49035111201,Utah,Salt Lake County,1,0
49035111202,Utah,Salt Lake County,1,1
49035111302,Utah,Salt Lake County,1,1
49035111304,Utah,Salt Lake County,1,1
49035111305,Utah,Salt Lake County,1,1
49035111306,Utah,Salt Lake County,1,1
49035111400,Utah,Salt Lake County,1,1
49035111500,Utah,Salt Lake County,1,1
49035111600,Utah,Salt Lake County,1,1
49035111701,Utah,Salt Lake County,1,1
49035111702,Utah,Salt Lake County,1,1
49035111801,Utah,Salt Lake County,1,1
49035111802,Utah,Salt Lake County,1,1
49035111903,Utah,Salt Lake County,1,1
49035111904,Utah,Salt Lake County,1,0
49035111905,Utah,Salt Lake County,1,1
49035111906,Utah,Salt Lake County,1,1
49035112001,Utah,Salt Lake County,1,1
49035112002,Utah,Salt Lake County,1,1
49035112100,Utah,Salt Lake County,1,1
49035112201,Utah,Salt Lake County,1,1
49035112202,Utah,Salt Lake County,1,1
49035112301,Utah,Salt Lake County,1,1
49035112302,Utah,Salt Lake County,1,1
49035112402,Utah,Salt Lake County,1,1
49035112403,Utah,Salt Lake County,1,1
49035112404,Utah,Salt Lake County,1,1
49035112501,Utah,Salt Lake County,1,1
49035112502,Utah,Salt Lake County,1,0
49035112503,Utah,Salt Lake County,1,1
49035112604,Utah,Salt Lake County,1,1
49035112605,Utah,Salt Lake County,1,1
49035112608,Utah,Salt Lake County,1,1
49035112609,Utah,Salt Lake County,1,1
49035112610,Utah,Salt Lake County,1,1
49035112611,Utah,Salt Lake County,1,1
49035112612,Utah,Salt Lake County,1,1
49035112613,Utah,Salt Lake County,1,1
49035112614,Utah,Salt Lake County,1,1
49035112615,Utah,Salt Lake County,1,1
49035112616,Utah,Salt Lake County,1,1
49035112617,Utah,Salt Lake County,1,1
49035112618,Utah,Salt Lake County,1,1
49035112619,Utah,Salt Lake County,1,1
49035112700,Utah,Salt Lake County,1,1
49035112804,Utah,Salt Lake County,1,1
49035112805,Utah,Salt Lake County,1,1
49035112810,Utah,Salt Lake County,1,1
49035112812,Utah,Salt Lake County,1,1
49035112813,Utah,Salt Lake County,1,1
49035112814,Utah,Salt Lake County,1,1
49035112815,Utah,Salt Lake County,1,1
49035112816,Utah,Salt Lake County,1,1
49035112817,Utah,Salt Lake County,1,1
49035112818,Utah,Salt Lake County,1,1
49035112819,Utah,Salt Lake County,1,1
49035112820,Utah,Salt Lake County,1,1
49035112821,Utah,Salt Lake County,1,1
49035112822,Utah,Salt Lake County,1,1
49035112823,Utah,Salt Lake County,1,1
49035112904,Utah,Salt Lake County,1,1
49035112905,Utah,Salt Lake County,1,1
49035112907,Utah,Salt Lake County,1,1
49035112912,Utah,Salt Lake County,1,1
49035112913,Utah,Salt Lake County,1,1
49035112914,Utah,Salt Lake County,1,1
49035112916,Utah,Salt Lake County,1,1
49035112917,Utah,Salt Lake County,1,1
49035112918,Utah,Salt Lake County,1,1
49035112920,Utah,Salt Lake County,1,1
49035112921,Utah,Salt Lake County,1,1
49035113007,Utah,Salt Lake County,1,1
49035113008,Utah,Salt Lake County,1,1
49035113010,Utah,Salt Lake County,1,1
49035113011,Utah,Salt Lake County,1,1
49035113012,Utah,Salt Lake County,1,1
49035113013,Utah,Salt Lake County,1,1
49035113014,Utah,Salt Lake County,1,1
49035113016,Utah,Salt Lake County,1,1
49035113017,Utah,Salt Lake County,1,1
49035113019,Utah,Salt Lake County,1,1
49035113020,Utah,Salt Lake County,1,1
49035113101,Utah,Salt Lake County,1,1
49035113102,Utah,Salt Lake County,1,1
49035113105,Utah,Salt Lake County,0,0
49035113107,Utah,Salt Lake County,1,1
49035113108,Utah,Salt Lake County,1,1
49035113305,Utah,Salt Lake County,1,1
49035113306,Utah,Salt Lake County,1,0
49035113307,Utah,Salt Lake County,1,1
49035113308,Utah,Salt Lake County,1,1
49035113309,Utah,Salt Lake County,1,1
49035113310,Utah,Salt Lake County,1,0
49035113406,Utah,Salt Lake County,1,1
49035113407,Utah,Salt Lake County,1,1
49035113408,Utah,Salt Lake County,1,1
49035113409,Utah,Salt Lake County,1,1
49035113410,Utah,Salt Lake County,1,1
49035113411,Utah,Salt Lake County,1,1
